,var
5S_rRNA,0.043923811787094064
5_8S_rRNA,0.0006172845072496472
7SK,0.024722134970035666
A1BG,3.485452235218273
A1BG-AS1,0.9799784665423966
A1CF,1.4760995365801333
A2M,4.146988788310813
A2M-AS1,0.3897129094922818
A2ML1,3.105145877149513
A2ML1-AS1,0.004142058863594403
A2ML1-AS2,0.002424379343609852
A2MP1,0.04338934401104114
A3GALT2,0.008446472961033371
A4GALT,2.6973437730043925
A4GNT,0.2531667415402964
AA06,0.00019347568979900313
AAAS,0.4977780510338827
AACS,0.9126271030309129
AACSP1,0.5380567993711757
AADAC,2.703846939055405
AADACL2,0.16892712378251898
AADACL2-AS1,0.04144418211302835
AADACL3,0.013730829237184931
AADACL4,0.011942268200894108
AADACP1,0.8853763005784038
AADAT,1.3470216619001465
AAED1,0.6371449400808702
AAGAB,0.6913505074012283
AAK1,1.0509763455825631
AAMDC,1.2028800378827738
AAMP,0.7417851402418624
AANAT,0.13573749555073053
AAR2,0.525984388539541
AARD,1.760957831730526
AARS,1.073141670923131
AARS2,0.6315192441103525
AARSD1,0.637128212706353
AARSP1,0.00040149040840394153
AASDH,0.4442709324124052
AASDHPPT,0.7237625131971909
AASS,1.3227676623349687
AATBC,0.9978129479479966
AATF,0.5260399225437842
AATK,2.0134773728327158
AATK-AS1,0.011751830361186393
AB015752.3,0.011069741399064512
AB019438.66,0.04062184944672131
AB019440.50,0.07374626450304655
AB019441.29,0.3173626762678036
ABALON,0.28078740481454256
ABAT,3.6042328851236416
ABBA01017803.1,0.026585188280611256
ABC12-47043100G14.2,0.0006707876903801681
ABC12-47964100C23.1,0.006618379329135485
ABC12-49244600F4.4,0.6411839615557987
ABC14-1080714F14.1,0.1137732496321135
ABC7-42391500H16.3,0.0016844887078912862
ABC7-42404400C24.1,0.3477378842442638
ABC7-42418200C9.1,0.0006816739391033174
ABC7-481722F1.1,0.020305962657513044
ABCA1,1.084317252768777
ABCA10,0.502513654122102
ABCA11P,0.5574577909587215
ABCA12,1.0383412038196207
ABCA13,1.0343492907059568
ABCA17P,0.6671073325316889
ABCA2,1.7798777784489404
ABCA3,3.0035513587598675
ABCA4,0.9320067643430316
ABCA5,1.2016774684296903
ABCA6,1.2537661991662152
ABCA7,1.388022508223426
ABCA8,1.7791285243179307
ABCA9,0.5047024294289743
ABCA9-AS1,0.2458587933602673
ABCB1,2.601594896611456
ABCB10,0.6484846161645252
ABCB10P1,0.04995602356061253
ABCB10P3,0.011274685656423112
ABCB10P4,0.023410196699030994
ABCB11,0.2579270142340853
ABCB4,1.5103269852188166
ABCB5,1.1169541295753778
ABCB6,1.5423038338085102
ABCB7,0.42652276777920267
ABCB8,0.6168024411931808
ABCB9,0.7702079158764028
ABCC1,1.471317615150513
ABCC10,0.6762179174633568
ABCC11,1.4533141707386221
ABCC12,0.16171434381752287
ABCC13,0.2524876243492643
ABCC2,1.5718065940404484
ABCC3,4.249687443123246
ABCC4,2.183505375271977
ABCC5,1.6051231992854453
ABCC5-AS1,0.0061549524924235585
ABCC6,2.4942449695438214
ABCC6P1,1.561319617270757
ABCC6P2,1.4608111558693662
ABCC8,2.591171829541557
ABCC9,1.1053595930270672
ABCD1,0.8831022301508403
ABCD1P2,0.0004365750632064549
ABCD1P3,4.984626011916006e-05
ABCD1P4,0.01611470157666159
ABCD1P5,0.002371139665254161
ABCD2,0.27038795423937895
ABCD3,0.9513641914344713
ABCD4,0.6808081303680068
ABCE1,0.7689589370484795
ABCF1,0.6189863682856745
ABCF2,0.6537280538319046
ABCF2P1,0.0005183970602738739
ABCF2P2,0.002460365473708425
ABCF3,0.5604792212429839
ABCG1,1.4115637925977096
ABCG2,1.5000606858574514
ABCG4,0.33410958629500154
ABCG5,0.5562589270462599
ABCG8,0.6781367288789713
ABHD1,0.5322734753068061
ABHD10,0.5581147311273927
ABHD11,1.8795477397881684
ABHD11-AS1,1.8524460572052956
ABHD12,0.8853589063220001
ABHD12B,1.2759793748469825
ABHD13,0.41231037017081573
ABHD14A,1.1149546727405923
ABHD14A-ACY1,0.221797056356076
ABHD14B,0.981315824863482
ABHD15,0.74468821673574
ABHD15-AS1,0.08252689117889138
ABHD16A,0.4657696196096562
ABHD16B,0.4433820651616018
ABHD17A,0.6213896056982742
ABHD17AP1,0.12325216459712603
ABHD17AP3,0.015367455574401008
ABHD17AP4,0.1639800948010287
ABHD17AP5,0.16456096701185394
ABHD17AP6,0.10388157656790409
ABHD17AP9,0.0013718513924659502
ABHD17B,0.798129163965365
ABHD17C,2.0778485181205957
ABHD2,1.8280798203217432
ABHD3,1.091916829831573
ABHD4,0.8990668035956995
ABHD5,0.7121937984726024
ABHD6,1.3324310379164357
ABHD8,0.9204403374683107
ABI1,0.787194705125621
ABI2,1.1539797318577982
ABI3,1.1586905854961418
ABI3BP,3.373249274919316
ABL1,0.7985451682194442
ABL2,0.7325282649181672
ABLIM1,1.9031583687793896
ABLIM2,1.6139201394728768
ABLIM3,2.519768563410989
ABO,2.0152752765948683
ABR,1.5345785139261325
ABRA,0.054846564899139395
ABRACL,1.6624790333157027
ABT1,0.41138576279766254
ABT1P1,0.00899748003634372
ABTB1,0.7711739446220989
ABTB2,1.098140998856622
AC000003.1,0.005341257977418275
AC000029.1,0.0003804528910062123
AC000032.2,0.38775004366186644
AC000035.3,0.0009238827713679204
AC000036.4,0.02865396783230139
AC000041.10,0.6594845856932617
AC000041.8,0.8254354297482879
AC000067.1,0.1276015154000314
AC000068.10,0.2674637862053602
AC000068.5,0.1674037544469192
AC000068.9,0.31592641562055546
AC000077.2,0.001023413336932083
AC000078.5,0.20614810875167505
AC000081.2,0.010001951827753493
AC000089.3,0.6490346802724077
AC000095.11,0.23983419469531403
AC000095.9,0.04066948215278936
AC000099.1,0.002904010511228668
AC000110.1,0.0014925310377950963
AC000111.3,0.001757288931387009
AC000111.4,0.0312501496744808
AC000111.5,0.01051903901731
AC000111.6,0.03223565620265429
AC000120.7,0.19280379588044425
AC000123.2,0.22060329564373155
AC000123.3,0.43874324395418524
AC000123.4,0.2883037466878928
AC000124.1,0.024147714979543922
AC000354.1,0.0006102650211463354
AC000362.1,0.0014449929285044094
AC000367.1,0.005029557341630713
AC000370.2,0.000600088590637796
AC000374.1,0.0013530620872358495
AC000403.1,0.0908529018763715
AC000403.4,0.07423002480899524
AC001226.7,0.04203393667985864
AC002044.1,0.07917269950049712
AC002044.3,0.03780600863638193
AC002044.4,0.15500670931297283
AC002056.3,0.04451884088163992
AC002056.5,0.05593678435587544
AC002059.10,0.26893807150062066
AC002064.4,0.003600777708312465
AC002064.5,0.036065267497066775
AC002064.7,0.019314950927736413
AC002066.1,0.11010298020417165
AC002069.5,0.002908866793510826
AC002069.6,0.0004722069823617044
AC002070.1,0.0015994613632761654
AC002072.1,0.0
AC002075.3,0.005516163055616798
AC002075.4,0.26635056190954753
AC002076.10,0.06623848301261631
AC002115.5,0.0014136016352133997
AC002115.9,0.005895236873153542
AC002116.7,0.17883746374744658
AC002116.8,0.4431801235858927
AC002117.1,0.30843308944461423
AC002127.2,0.00461635169601815
AC002127.4,0.0002979144934763219
AC002128.5,0.0480106030076069
AC002306.1,0.03802612862871921
AC002310.10,0.0252091965555027
AC002310.11,0.3186619708015376
AC002310.12,0.3639555029964056
AC002310.13,0.014472015873193257
AC002310.14,0.28149762683888585
AC002310.17,0.1521310113150039
AC002310.7,0.035331488835892565
AC002314.4,0.0030433433804592435
AC002331.1,0.27902370245669283
AC002366.1,0.009373999907222277
AC002366.3,0.002893491546547779
AC002368.4,0.010585164272295331
AC002383.2,0.0002008509895342777
AC002386.1,0.003514172561383696
AC002389.1,0.00036552265784757233
AC002395.1,0.009756032034073573
AC002398.11,0.03685341712733366
AC002398.12,1.5407363485339316
AC002398.13,0.40805613544853236
AC002398.9,0.7223642546396769
AC002400.1,0.22484116558229103
AC002401.1,0.02442823264597855
AC002429.1,0.0
AC002429.4,0.023586511138442262
AC002429.5,0.12775102022839588
AC002451.3,0.4213417392610155
AC002454.1,1.8990782956816465
AC002456.2,0.8949014072514753
AC002463.3,0.00862117256145357
AC002464.1,0.0027311842368499097
AC002465.2,0.0004995077658677011
AC002467.7,0.5157436121270002
AC002472.11,0.004670305148259354
AC002480.2,0.02056213818094131
AC002480.3,0.1367576139278115
AC002480.4,0.04814272802478356
AC002480.5,0.09983276326460178
AC002486.2,0.001173388701308041
AC002486.3,0.010318734567960059
AC002511.2,0.34443298264065675
AC002511.3,0.16936255036437312
AC002519.6,0.0031613273488789555
AC002519.8,0.006854030921038919
AC002523.1,0.0012277218434250219
AC002530.1,0.0
AC002539.1,0.016367345987074854
AC002539.2,0.0
AC002542.2,0.02489923232553291
AC002543.2,0.11828721801993768
AC002550.5,0.029780708335292318
AC002550.6,0.25836466823441395
AC002551.1,0.02094099206703643
AC002553.4,0.040898118784482164
AC002558.1,0.0058692575918161604
AC002978.1,0.0006835504710154593
AC002979.1,0.003762163267955864
AC002981.1,0.0
AC002984.2,0.08729635629940856
AC002985.3,0.02080213833570956
AC003001.1,0.0010823989848829521
AC003002.4,0.0031581711810079287
AC003002.6,0.13066988986332045
AC003003.5,0.020246690361054965
AC003005.2,0.07124398320395314
AC003005.4,0.020608100770870563
AC003006.1,0.005982300563140868
AC003006.7,0.15777281610081492
AC003009.1,0.0013142351176763344
AC003045.1,0.0005458421220491164
AC003075.4,0.3617852240451736
AC003080.4,0.02228209906367527
AC003084.2,0.0025981428585328975
AC003088.1,0.05834029032270351
AC003090.1,0.3028939158297025
AC003092.1,0.3166540651346308
AC003092.2,0.0057605268015116
AC003101.1,0.0032764480414992658
AC003104.1,0.14974075401478282
AC003658.1,0.0011617117951944064
AC003664.1,0.00014430516768665846
AC003666.1,0.0
AC003681.1,0.0
AC003682.16,0.023838409803969604
AC003682.17,0.07679424548056271
AC003688.1,1.160234644950203
AC003956.1,0.053524682848405704
AC003958.2,0.011578826816022746
AC003958.6,0.0004982189352734907
AC003968.1,0.0
AC003973.1,0.023983244687872073
AC003973.3,0.6737687835927139
AC003973.4,0.0002824087251776662
AC003973.5,0.00013920427298123333
AC003984.1,0.23092239684515062
AC003985.1,0.005879384619795783
AC003986.5,0.03885106488431192
AC003986.6,0.07189072504846589
AC003986.7,0.017486673188226536
AC003988.1,0.0006801950407909477
AC003989.3,0.08864009802781193
AC003989.4,0.05942954326803275
AC003991.3,0.5470694030986659
AC004000.1,0.00033023173736739864
AC004000.2,0.0
AC004004.2,0.04676361864947965
AC004006.2,0.005153840307817456
AC004009.1,0.005689186852943583
AC004009.2,0.026168469464596146
AC004009.3,0.0267916913080413
AC004012.1,0.0596931011556099
AC004014.3,0.00021465983951052703
AC004016.1,0.0020489441219870117
AC004019.10,0.02444812887673101
AC004019.13,0.07548465091568947
AC004022.7,0.006967548104216093
AC004022.8,0.00994285910013026
AC004051.2,0.0018659637716508456
AC004052.1,0.0
AC004053.1,0.0004601838228587261
AC004053.2,0.0
AC004054.1,0.0028277526620106128
AC004057.1,1.8014526751045952
AC004062.2,0.0008800661336380618
AC004063.1,0.00039075589109940564
AC004066.2,0.002431901819929099
AC004066.3,0.020624630924325316
AC004067.5,0.24452963546234213
AC004069.1,0.003552479403595185
AC004069.2,0.2764722246409723
AC004070.1,0.000335300925627938
AC004074.4,0.00015585702056939224
AC004076.5,0.13495985634053323
AC004076.7,0.014827334866628695
AC004076.9,0.19337067824478807
AC004079.1,0.006779542420063086
AC004108.1,0.005842699990612285
AC004112.4,0.003789224130895921
AC004112.5,0.0013308777009274375
AC004112.7,0.000819084551106061
AC004125.3,0.002428580188846223
AC004129.7,0.00019191961363586231
AC004129.9,0.0012053552507489298
AC004156.3,0.031922293782477525
AC004158.1,0.06875247297422167
AC004158.3,0.6466768467931185
AC004159.1,0.004986679818355321
AC004160.4,0.018147432592190295
AC004221.2,0.04401760651850354
AC004231.2,0.03953860384392348
AC004237.1,0.0634055944806703
AC004257.1,0.009923425045945154
AC004381.6,0.747537122628075
AC004381.7,0.04041063464395044
AC004383.3,0.22652821078813623
AC004386.3,0.001621783105728153
AC004386.4,0.005801297482295074
AC004448.2,0.05935710996887142
AC004448.5,0.14524028897358707
AC004449.6,0.12938025818730448
AC004453.1,7.185332071372716e-06
AC004453.8,1.1060922978053043
AC004458.1,0.0
AC004460.1,0.0006636272262335427
AC004461.4,0.015911229086076235
AC004470.1,0.0010574686090808706
AC004471.10,0.02304030957081274
AC004471.9,0.09551021717112745
AC004477.1,0.005538755569884058
AC004485.3,0.021735248506059065
AC004490.1,0.026503219657131052
AC004492.1,0.0
AC004510.3,0.028411378999490915
AC004520.1,0.0
AC004535.2,0.0003837611960717841
AC004538.3,0.26289810842481426
AC004540.4,2.6601064684136273
AC004540.5,1.300089914214121
AC004541.1,0.0
AC004543.1,0.0
AC004543.2,0.0040374523453480015
AC004549.6,0.005017359201228963
AC004552.1,1.8167058487909486e-05
AC004593.3,0.08829455774066258
AC004595.1,0.00018662228382549994
AC004603.4,0.009594316276068859
AC004623.2,0.09870893303655391
AC004623.3,0.31369182592392536
AC004637.1,0.06343053134812446
AC004655.1,0.0025970140518370944
AC004656.1,0.0032589338445064954
AC004673.1,0.0
AC004691.1,0.055226438834054946
AC004691.5,0.006112313801857832
AC004692.4,0.007446532072027296
AC004692.5,0.006218480733027241
AC004699.1,0.01521406171325221
AC004702.2,0.002417263093751543
AC004744.3,8.392576600574079e-05
AC004745.1,0.0
AC004754.3,0.21193625111342343
AC004769.1,0.0
AC004775.5,0.018707171646032347
AC004791.2,0.7279532655421445
AC004812.1,0.005434214880825281
AC004813.1,0.12064871437032952
AC004816.1,0.015111687603305566
AC004819.1,0.012502592982023778
AC004824.1,0.0
AC004824.2,0.003632413472579503
AC004832.1,0.03283963431811332
AC004837.1,0.0
AC004837.3,0.019824057131470584
AC004837.4,0.0029821254016537285
AC004837.5,0.10403028172794042
AC004840.8,0.007461156317249618
AC004846.1,0.0015895366643803263
AC004850.1,0.0
AC004853.1,0.0006805997670423378
AC004854.4,0.42372434542425663
AC004854.5,0.00862568504006442
AC004862.6,0.25242207464902205
AC004866.1,0.0
AC004866.3,0.00018274632937013006
AC004869.2,9.546321830087831e-05
AC004869.3,0.0
AC004870.3,0.003507454989811044
AC004870.4,0.465398483796285
AC004870.5,0.04424939132537645
AC004875.1,0.0
AC004878.2,0.13498814557292751
AC004878.8,0.10892370168202635
AC004893.10,0.08777989743411935
AC004893.11,0.5818783891797666
AC004895.1,0.0011730637183508523
AC004895.4,0.006581223343598434
AC004899.3,0.011063646610119167
AC004901.1,0.017670473852912035
AC004906.3,0.033540680235024344
AC004911.2,0.0077792550450134
AC004915.1,0.0
AC004920.2,0.010745503203390258
AC004920.3,0.004910731150231184
AC004924.1,0.20843079675373125
AC004932.1,0.010908867098268002
AC004938.5,0.0026235549905263295
AC004941.3,0.0011394033718034908
AC004941.5,0.005697036361736079
AC004943.1,0.00579971361089388
AC004945.1,0.008424064519852835
AC004946.1,0.0
AC004947.2,0.19656171670337166
AC004951.5,0.43055796611717745
AC004951.6,0.49998577514235004
AC004953.1,0.0003102532929871057
AC004967.7,0.4606674540068008
AC004969.1,0.0
AC004980.1,0.007125808640587917
AC004980.10,0.258679961994645
AC004980.7,0.4586399394311662
AC004980.8,0.016371259018522488
AC004980.9,0.27146968857761944
AC004984.1,0.0
AC004985.12,0.04626557217704269
AC004987.10,0.001525177466616303
AC004987.9,0.31736374710161214
AC004988.1,0.29575610447463985
AC005000.1,0.0
AC005008.2,0.002741681082832078
AC005008.3,0.0038930870041796175
AC005009.1,0.15193755325023361
AC005009.2,0.050556248745777556
AC005013.5,0.07245772816154576
AC005014.5,0.007149032683656261
AC005017.2,0.0006797514127342114
AC005019.2,0.0008293667789957643
